sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
sample1,0.0,0.01,0.79,0.0,0.0,0.0,0.01,0.0,0.35,0.0,0.0,0.0
sample2,0.03,0.0,0.01,0.16,0.18,0.02,0.05,0.0,0.6,0.02,0.03,0.0
sample3,0.02,0.0,0.06,0.09,0.23,0.09,0.07,0.0,0.62,0.05,0.04,0.0
sample4,0.0,0.03,0.01,0.0,0.87,0.06,0.01,0.0,0.54,0.0,0.0,0.0
sample5,0.06,0.03,0.11,0.13,0.22,0.06,0.08,0.0,0.42,0.16,0.01,0.0
sample6,0.0,0.0,0.0,0.03,0.01,0.08,0.07,0.0,0.87,0.0,0.0,0.0
sample7,0.0,0.02,0.22,0.0,0.0,0.0,0.0,0.01,0.38,0.01,0.0,0.15
sample8,0.03,0.0,0.01,0.24,0.08,0.07,0.14,0.0,0.68,0.0,0.0,0.0
sample9,0.0,0.87,0.26,0.11,0.22,0.03,0.04,0.0,0.41,0.0,0.0,0.0
sample10,0.1,0.1,0.0,0.27,0.13,0.0,0.06,0.0,0.27,0.0,0.02,0.0
sample11,0.02,0.04,0.22,0.07,0.01,0.0,0.0,0.0,0.38,0.0,0.0,0.02
sample12,0.0,0.0,0.02,0.21,0.37,0.0,0.0,0.0,0.53,0.09,0.06,0.0
sample13,0.14,0.0,0.02,0.64,0.95,0.0,0.1,0.07,0.4,0.01,0.0,0.0
sample14,0.04,0.03,0.03,0.11,0.22,0.03,0.03,0.0,0.45,0.02,0.05,0.0
sample15,0.03,0.06,0.05,0.25,0.08,0.07,0.04,0.02,0.49,0.01,0.0,0.0
sample16,0.01,0.0,0.0,0.0,0.29,0.03,0.01,0.0,0.47,0.05,0.77,0.0
sample17,0.0,0.0,0.0,0.12,0.29,0.0,0.01,0.1,0.95,0.01,0.0,0.0
sample18,0.14,0.0,0.04,0.46,0.03,0.0,0.03,0.1,0.18,0.0,0.0,0.0
sample19,0.05,0.0,0.01,0.2,0.22,0.02,0.03,0.02,0.44,0.07,0.04,0.0
sample20,0.07,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.78,0.0,0.0,0.0
sample21,0.01,0.0,0.03,0.15,0.1,0.03,0.02,0.0,0.51,0.04,0.08,0.0
sample22,0.01,0.0,0.0,0.14,0.06,0.0,0.02,0.06,0.87,0.0,0.0,0.0
sample23,0.0,0.02,0.0,0.39,0.77,0.04,0.01,0.0,0.78,0.0,0.0,0.02
sample24,0.01,0.0,0.01,0.22,0.11,0.07,0.01,0.0,0.83,0.0,0.0,0.0
sample25,0.07,0.0,0.04,0.07,0.19,0.05,0.11,0.0,0.49,0.03,0.05,0.0
sample26,0.03,0.0,0.04,0.14,0.29,0.01,0.02,0.0,0.51,0.08,0.05,0.0
sample27,0.0,0.0,0.49,0.03,0.49,0.0,0.0,0.0,0.12,0.0,0.0,0.0
sample28,0.0,0.0,0.02,0.04,0.52,0.0,0.04,0.0,0.91,0.01,0.0,0.0
sample29,0.0,0.0,0.0,0.05,0.98,0.34,0.05,0.0,0.38,0.01,0.0,0.0
sample30,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.4,0.0,0.0,0.13
sample31,0.02,0.0,0.01,0.45,0.11,0.0,0.02,0.0,0.31,0.0,0.02,0.0
sample32,0.01,0.0,0.0,0.05,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sample33,0.0,0.0,0.0,0.17,0.04,0.04,0.0,0.0,0.88,0.0,0.03,0.0
sample34,0.14,0.0,0.04,0.18,0.22,0.12,0.12,0.04,0.64,0.08,0.01,0.0
sample35,0.01,0.1,0.08,0.16,0.2,0.07,0.02,0.0,0.54,0.2,0.02,0.0
sample36,0.0,0.11,0.94,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
sample37,0.0,0.0,0.0,0.03,0.72,0.0,0.0,0.04,0.94,0.0,0.0,0.0
sample38,0.0,0.0,0.0,0.01,0.04,0.01,0.02,0.0,0.64,0.0,0.0,0.0
sample39,0.0,0.0,0.11,0.08,0.17,0.06,0.08,0.0,0.63,0.05,0.02,0.0
sample40,0.0,0.0,0.0,0.42,0.66,0.0,0.0,0.01,0.93,0.01,0.0,0.0
sample41,0.02,0.01,0.05,0.17,0.12,0.01,0.01,0.0,0.47,0.03,0.01,0.0
sample42,0.0,0.11,0.18,0.07,0.39,0.01,0.0,0.0,0.25,0.0,0.0,0.0
sample43,0.07,0.0,0.03,0.26,0.11,0.03,0.0,0.0,0.43,0.04,0.05,0.0
sample44,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.93,0.01,0.0,0.0
sample45,0.02,0.02,0.0,0.34,0.56,0.0,0.02,0.0,0.53,0.05,0.01,0.0
sample46,0.0,0.0,0.0,0.13,0.06,0.0,0.06,0.01,0.99,0.0,0.0,0.0
sample47,0.05,0.0,0.0,0.16,0.01,0.05,0.06,0.19,0.3,0.0,0.0,0.0
sample48,0.05,0.02,0.02,0.23,0.18,0.0,0.09,0.0,0.45,0.05,0.0,0.01
sample49,0.03,0.0,0.0,0.06,0.18,0.0,0.02,0.0,0.17,0.0,0.0,0.0
sample50,0.0,0.06,0.02,0.09,0.11,0.02,0.03,0.0,0.66,0.0,0.02,0.03
