sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
sample1,0.01,0.0,0.01,0.04,0.93,0.03,0.0,0.0,0.49,0.04,0.0,0.0
sample2,0.0,0.0,0.0,0.11,0.66,0.01,0.0,0.04,0.24,0.0,0.0,0.0
sample3,0.0,0.0,0.0,0.0,0.14,0.68,0.0,0.04,0.49,0.0,0.0,0.0
sample4,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.03,0.66,0.0,0.0,0.0
sample5,0.0,0.0,0.02,0.02,0.63,0.09,0.0,0.0,0.93,0.0,0.03,0.0
sample6,0.06,0.0,0.07,0.0,0.13,0.0,0.05,0.02,0.89,0.0,0.01,0.0
sample7,0.0,0.0,0.01,0.15,0.24,0.0,0.0,0.0,0.93,0.05,0.16,0.0
sample8,0.02,0.0,0.01,0.34,0.21,0.0,0.13,0.0,0.5,0.03,0.0,0.0
sample9,0.0,0.0,0.0,0.12,0.19,0.01,0.11,0.0,0.93,0.0,0.0,0.0
sample10,0.0,0.0,0.0,0.65,0.19,0.0,0.03,0.02,0.64,0.01,0.0,0.0
sample11,0.01,0.0,0.11,0.04,0.4,0.04,0.0,0.0,0.51,0.0,0.01,0.0
sample12,0.0,0.0,0.0,0.0,0.44,0.01,0.0,0.0,0.67,0.01,0.33,0.0
sample13,0.0,0.0,0.0,0.01,0.36,0.0,0.0,0.0,0.71,0.0,0.0,0.0
sample14,0.0,0.0,0.0,0.01,0.32,0.08,0.07,0.0,0.99,0.01,0.0,0.0
sample15,0.0,0.0,0.0,0.41,0.95,0.19,0.09,0.01,0.32,0.0,0.0,0.0
sample16,0.0,0.0,0.0,0.27,0.25,0.04,0.05,0.01,0.61,0.01,0.0,0.01
sample17,0.03,0.0,0.0,0.45,0.01,0.09,0.0,0.02,0.65,0.01,0.0,0.0
sample18,0.0,0.0,0.02,0.03,0.21,0.0,0.01,0.02,1.0,0.01,0.01,0.0
sample19,0.0,0.0,0.08,0.0,0.99,0.0,0.01,0.0,0.05,0.0,0.0,0.0
sample20,0.03,0.0,0.0,0.42,0.35,0.02,0.0,0.0,0.28,0.01,0.01,0.0
sample21,0.0,0.03,0.0,0.0,0.78,0.0,0.03,0.0,0.39,0.09,0.0,0.0
sample22,0.19,0.01,0.01,0.69,0.21,0.02,0.0,0.01,0.64,0.01,0.0,0.0
sample23,0.0,0.0,0.01,0.0,0.62,0.0,0.07,0.0,0.94,0.04,0.0,0.0
sample24,0.0,0.0,0.0,0.01,0.22,0.01,0.08,0.0,0.88,0.0,0.03,0.0
sample25,0.02,0.02,0.0,0.06,0.32,0.01,0.01,0.0,0.77,0.0,0.0,0.0
sample26,0.0,0.0,0.01,0.01,0.99,0.0,0.03,0.0,0.24,0.0,0.0,0.0
sample27,0.0,0.0,0.05,0.06,0.43,0.01,0.0,0.0,0.95,0.07,0.02,0.0
sample28,0.04,0.0,0.02,0.18,0.38,0.0,0.02,0.02,0.67,0.0,0.0,0.0
sample29,0.0,0.0,0.0,0.02,0.11,0.05,0.06,0.0,0.77,0.0,0.0,0.0
sample30,0.03,0.0,0.0,0.04,0.05,0.01,0.03,0.02,0.87,0.0,0.0,0.0
sample31,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.67,0.02,0.0,0.0
sample32,0.0,0.0,0.01,0.01,0.64,0.02,0.0,0.0,0.76,0.02,0.0,0.0
sample33,0.0,0.0,0.0,0.06,0.01,0.01,0.04,0.0,0.72,0.0,0.0,0.0
sample34,0.0,0.0,0.01,0.01,0.01,0.0,0.08,0.0,0.99,0.0,0.0,0.0
sample35,0.0,0.0,0.0,0.04,0.02,0.01,0.01,0.03,0.99,0.0,0.0,0.0
sample36,0.4,0.0,0.0,0.57,0.03,0.01,0.02,0.0,0.32,0.0,0.0,0.0
sample37,0.02,0.04,0.0,0.1,0.07,0.01,0.07,0.0,0.55,0.0,0.0,0.0
sample38,0.0,0.03,0.0,0.19,0.09,0.29,0.0,0.0,0.76,0.0,0.0,0.0
sample39,0.05,0.0,0.02,0.4,0.82,0.04,0.1,0.01,0.32,0.0,0.0,0.0
sample40,0.0,0.0,0.25,0.02,0.01,0.0,0.12,0.03,0.65,0.0,0.0,0.0
sample41,0.01,0.0,0.0,0.06,0.18,0.02,0.0,0.0,0.89,0.0,0.02,0.0
sample42,0.11,0.0,0.0,0.02,0.01,0.02,0.56,0.01,0.8,0.0,0.0,0.0
sample43,0.01,0.0,0.0,0.04,0.32,0.49,0.16,0.0,0.32,0.0,0.0,0.0
sample44,0.0,0.0,0.0,0.01,0.63,0.64,0.02,0.0,0.35,0.0,0.0,0.0
sample45,0.0,0.0,0.0,0.29,0.12,0.08,0.0,0.01,0.7,0.0,0.0,0.0
sample46,0.0,0.0,0.0,0.02,0.15,0.0,0.06,0.0,0.71,0.02,0.07,0.0
sample47,0.0,0.03,0.03,0.29,0.04,0.78,0.0,0.0,0.22,0.0,0.0,0.0
sample48,0.01,0.0,0.0,0.07,0.18,0.0,0.03,0.04,0.77,0.0,0.04,0.0
sample49,0.0,0.01,0.86,0.32,0.06,0.01,0.01,0.0,0.18,0.0,0.0,0.0
sample50,0.01,0.03,0.0,0.21,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
